dataset,horizon,method,crps,mae,smape,ece,cov_50,cov_80,cov_90,cov_95
Exchange-Rate,1,Raw LLM,0.0017150745165000196,0.0019913867850000267,0.2698552575651617,0.15714285714285717,0.1,0.5,0.5,0.6
Exchange-Rate,1,L1: Isotonic,0.0035056546364851415,,,,,0.5,,
Exchange-Rate,1,L2: Sym CP,,,,,,0.7,,
Exchange-Rate,1,L2: Asym CP,,,,,,0.5,,
Exchange-Rate,1,L2: Adaptive CP,,,,,,0.7,,
Exchange-Rate,1,L2: Mondrian CP,,,,,,0.8,,
Exchange-Rate,1,L2: Pooled Sym CP,,,,,,0.8,,
Exchange-Rate,1,L2: Pooled Asym CP,,,,,,0.4,,
Exchange-Rate,1,L2: Pooled Adaptive CP,,,,,,0.8,,
Exchange-Rate,1,L2: Pooled Mondrian CP,,,,,,0.8,,
Exchange-Rate,6,Raw LLM,0.0021074194256499998,0.002768040705833343,0.37688069804748536,0.1476190476190476,0.23333333333333334,0.43333333333333335,0.55,0.5666666666666667
Exchange-Rate,6,L1: Isotonic,0.0037057102642209,,,,,0.43333333333333335,,
Exchange-Rate,6,L2: Sym CP,,,,,,0.6333333333333333,,
Exchange-Rate,6,L2: Asym CP,,,,,,0.5,,
Exchange-Rate,6,L2: Adaptive CP,,,,,,0.75,,
Exchange-Rate,6,L2: Mondrian CP,,,,,,0.6666666666666666,,
Exchange-Rate,6,L2: Pooled Sym CP,,,,,,0.7833333333333333,,
Exchange-Rate,6,L2: Pooled Asym CP,,,,,,0.5,,
Exchange-Rate,6,L2: Pooled Adaptive CP,,,,,,0.7833333333333333,,
Exchange-Rate,6,L2: Pooled Mondrian CP,,,,,,0.7666666666666667,,
Exchange-Rate,24,Raw LLM,0.004176145196424991,0.005529462938958322,0.7748858726278834,0.1392857142857143,0.3375,0.5541666666666667,0.6375,0.65
Exchange-Rate,24,L1: Isotonic,0.005560461968703181,,,,,0.5541666666666667,,
Exchange-Rate,24,L2: Sym CP,,,,,,0.49166666666666664,,
Exchange-Rate,24,L2: Asym CP,,,,,,0.4375,,
Exchange-Rate,24,L2: Adaptive CP,,,,,,0.5875,,
Exchange-Rate,24,L2: Mondrian CP,,,,,,0.4791666666666667,,
Exchange-Rate,24,L2: Pooled Sym CP,,,,,,0.5,,
Exchange-Rate,24,L2: Pooled Asym CP,,,,,,0.2916666666666667,,
Exchange-Rate,24,L2: Pooled Adaptive CP,,,,,,0.5916666666666667,,
Exchange-Rate,24,L2: Pooled Mondrian CP,,,,,,0.5375,,
